epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.4980042,2.684233475647641,0.49735105,0.6935751587152481
1,0.5122287,1.3466641396463623,0.50264895,0.7100676866593184
2,0.518325,1.1272403637628716,0.50264895,0.810731558336152
3,0.52935624,0.9375087349332982,0.50272155,0.7000577985136597
4,0.5702155,0.8285365528123924,0.50264895,0.7994311661631973
5,0.53088033,0.9261431222912258,0.5233326,0.7017995847596062
6,0.53240436,0.9350087253956899,0.49459323,0.7694167908695009
7,0.5081646,0.9531621266816384,0.518833,0.7026604805831556
8,0.5205022,0.9376759909780635,0.5385006,0.687565717432234
9,0.5199942,0.8670780481538801,0.52151823,0.697541786564721
