epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.50794685,1.926553756597729,0.5549024,1.3151675165391024
1,0.52326006,0.9884740294423191,0.5804485,0.7032263689002416
2,0.54365337,0.9491801672546236,0.49103707,1.0372296849702185
3,0.5081646,0.9559951484164407,0.5140431,1.4852616456088776
4,0.51084983,0.9595670434125527,0.49785906,0.7127800845214773
5,0.51201105,0.9419102987484191,0.5174541,0.7361960135867037
6,0.51585746,0.8911269161682861,0.5393715,0.816139227483776
7,0.5292837,0.8418944345190889,0.5391538,0.7116201949714231
8,0.5349445,0.8282491602406411,0.49785906,0.7045702161894044
9,0.5130997,0.8557759017969945,0.49785906,0.7027636955204807
