epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.5014878,2.4197427038098205,0.49706075,0.6934928568425002
1,0.5019958,1.2611472974694582,0.5029393,0.7129452796997847
2,0.5063502,1.077825278798592,0.5019958,0.7221416861370757
3,0.51106757,0.9822190049009699,0.4961173,0.691689525489454
4,0.514914,0.9394357342948085,0.51810724,0.7042409280935923
5,0.5263082,0.876157126866021,0.5996081,0.6815284545774813
6,0.56411934,0.8562666600246597,0.6466362,0.6652675952624392
7,0.6189854,0.8291170095331533,0.61818707,0.6813434315500436
8,0.626896,0.8307512566394267,0.6087524,0.6783535047261803
9,0.6432978,0.8069864067580393,0.65295017,0.9086514520976279
