epoch,accuracy,loss,val_accuracy,val_loss
0,0.5208333,2.3569833900731894,0.6043118238449097,0.6973060369491577
1,0.55227786,1.2684977629378222,0.5372375249862671,1.5294575691223145
2,0.61897844,1.0675408480420827,0.6782678365707397,0.520923376083374
3,0.74903727,0.6702784903215945,0.7491099238395691,0.46202388405799866
4,0.82997894,0.4359359724407477,0.836300253868103,0.46910297870635986
5,0.85025066,0.39467886964448323,0.8612220883369446,0.21226514875888824
6,0.87241155,0.34899376368164053,0.8642011284828186,0.3394186198711395
7,0.88926834,0.2998507344591958,0.8873792290687561,0.41208118200302124
8,0.8974061,0.2781658619111736,0.8962435722351074,0.6743419170379639
9,0.90714234,0.27465857603838734,0.8933371901512146,0.14753380417823792
10,0.9152801,0.2383784627893641,0.9003124237060547,0.08629174530506134
