epoch,accuracy,loss,val_accuracy,val_loss
0,0.5050872,2.3193777464156926,0.49905523657798767,0.7831600904464722
1,0.5126937,1.5082808564322692,0.5048373937606812,0.7019895911216736
2,0.5478286,1.2837691780106844,0.5044736862182617,0.7261385917663574
3,0.581436,1.100333447056423,0.6239907145500183,0.6291619539260864
4,0.66087145,0.9649102193030858,0.7884629368782043,1.7991626262664795
5,0.75209135,0.9206740038585011,0.8070851564407349,0.46011513471603394
6,0.8015567,0.7633479810102711,0.8318178653717041,0.34395045042037964
7,0.82708955,0.7228482120796456,0.8494216799736023,0.28829413652420044
8,0.84520257,0.6775270985004347,0.8703716993331909,0.2220262736082077
9,0.86127883,0.5977730232607913,0.887393593788147,0.45209231972694397
10,0.87633663,0.45930221258202164,0.8815741539001465,0.14393363893032074
11,0.8860115,0.40350629932131865,0.8999781608581543,0.057099469006061554
12,0.8900851,0.379478885640645,0.8930675983428955,0.2458535134792328
13,0.8976504,0.3033538801950429,0.894740641117096,0.22549913823604584
14,0.9039063,0.27337902263289254,0.9004146456718445,0.45039892196655273
15,0.9084891,0.26298556039590154,0.9033970832824707,0.08527949452400208
16,0.9092893,0.26788330423094414,0.8987415432929993,1.359601378440857
