epoch,accuracy,loss,val_accuracy,val_loss
0,0.50043607,2.12689752162889,0.4762354791164398,2.3769326210021973
1,0.5085673,1.6466418546696802,0.4987240135669708,0.8135015964508057
2,0.53175354,1.3529862710476095,0.5079110264778137,0.7030820846557617
3,0.56121033,1.2061408098231603,0.5353263020515442,0.6931496858596802
4,0.5796573,1.1172863603203218,0.65964275598526,0.6267637610435486
5,0.6246446,0.9892920457225971,0.5961356163024902,0.657332181930542
6,0.6715275,1.0064067292813181,0.7400656342506409,0.523961067199707
7,0.7302953,0.7969997534863148,0.7865840196609497,0.4680314064025879
8,0.7553044,0.8313755467691606,0.757637619972229,0.5193372964859009
9,0.7821363,0.7357955027878219,0.8026977777481079,0.42870935797691345
10,0.80998904,0.6876180016859752,0.8230404853820801,0.39295703172683716
11,0.82019687,0.627116294205732,0.8556325435638428,1.3737118244171143
12,0.82931095,0.6505125709945513,0.8558512330055237,0.30436810851097107
13,0.84331024,0.5941808508644563,0.861684262752533,0.35813552141189575
