epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.50272155,1.650426498348961,0.5048988,0.712518192520684
1,0.49960083,1.0580182162880838,0.51055956,0.697121051114725
2,0.5067857,0.9839493334834085,0.49510124,1.9366125634726021
3,0.496843,0.9797562779497102,0.489005,0.8022376055711933
4,0.51201105,0.9209884677399433,0.52130055,0.6932256546604446
5,0.50221354,0.8993378183441832,0.51730895,0.7035123097709771
6,0.5269613,0.805165192300362,0.5623775,0.8881092742474634
7,0.53138834,0.7633791362800656,0.5048988,0.6958567785165093
8,0.50511646,0.7894483393539287,0.43994483,0.6935452525517447
9,0.5056971,0.7636480837534799,0.53109807,0.6925763197230241
