epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.5022861,2.2214839467463157,0.5038827,0.8336003529223378
1,0.50221354,1.0625949661309007,0.4710066,1.0987273512749551
2,0.49444807,0.9873820377050234,0.5517091,0.8170724501465977
3,0.51926845,0.9223154522578614,0.51680094,0.7019674677030117
4,0.51484144,0.9000024097311331,0.5045359,0.6951081329597951
5,0.52130055,0.8835886658790955,0.4425575,0.7744113435048239
6,0.5092532,0.9037820865146065,0.41410843,3.842334699188197
7,0.4980768,0.907073425307088,0.5038827,0.6952457736373777
8,0.5023587,0.9012434304007096,0.4961173,0.6943660433773652
9,0.4977865,0.8651227626055468,0.5038827,0.6935493474493447
