epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.5093614,1.8080156752609895,0.51495135,0.8961423660375679
1,0.5373004,0.8794135647692078,0.5251125,0.7015286504254263
2,0.63076925,0.6802866880191255,0.555741,0.6773312928505121
3,0.708418,0.5958199380271147,0.726956,0.6312854556915655
4,0.9032656,0.34133775199618843,0.79510814,20.62283557668985
5,0.93817127,0.24869065589240397,0.9551459,0.15841854084067028
6,0.9429608,0.226344881006699,0.95021045,0.27462297428200527
7,0.9478229,0.1942550578964293,0.9346785,0.4379656646063599
8,0.9477504,0.19560052812834783,0.95427495,0.18018951066477945
9,0.94586354,0.19538804732144138,0.95804906,0.14648861419020562
10,0.9552975,0.15391481895924305,0.9583394,0.14097974953952563
11,0.95428157,0.1516059520152899,0.94462186,0.1690006145987046
12,0.9455733,0.18391547596247,0.9594281,0.1668562508023964
13,0.9490566,0.1736456681005062,0.93554944,0.23281818223801676
14,0.95420897,0.1630124409070728,0.9582668,0.12731466765176255
15,0.947315,0.1774817151824453,0.9539846,0.1512276027308401
16,0.9485486,0.19090931002694048,0.83248657,0.39949691072624965
17,0.9468795,0.19562654408081523,0.95884746,0.13977686211190202
18,0.95312047,0.16353557624993373,0.9557265,0.14617473033112052
19,0.9539913,0.15970434975122333,0.95870227,0.136515682653941
20,0.95268506,0.16124128184358336,0.49985483,48.33306729433985
21,0.94129175,0.22932171124332357,0.9507185,0.18098289534242137
22,0.9509434,0.16245715421325754,0.95674264,0.14585095640539847
23,0.9532656,0.15564557889203376,0.9563072,0.1466974194038426
24,0.95544267,0.1413741475049574,0.9564523,0.15195046095155923
25,0.9571118,0.13730723210792928,0.95804906,0.13415336866026825
26,0.9595791,0.1320361920923038,0.9602265,0.1313598041504777
27,0.9603048,0.1285461244372048,0.95841193,0.13703108227999747
